ispb,nome,nome_reduzido,modalidade_participacao,tipo_participacao,inicio_operacao,data_carga
33930368,7TRUST FINANCE IP S.A.,7TRUST FINANCE IP S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
24313102,99PAY IP S.A.,99PAY IP S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
35534511,A27 IP S/A,A27 IP S/A,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
48756121,A55 SCD S.A.,A55 SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
,ACCESSTAGE IP LTDA.,ACCESSTAGE IP LTDA.,Iniciador,,,2026-05-11 16:41:39.298146
37715993,ACCREDITO SCD S.A.,ACCREDITO SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
10868663,ACG IP S.A.,ACG IP S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
31841474,ADOPAY INSTITUICAO DE PAGAMENT,ADOPAY INSTITUICAO DE PAGAMENT,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
14796606,ADYEN DO BRASIL IP LTDA.,ADYEN DO BRASIL IP LTDA.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
32246162,AIBR IP LTDA.,AIBR IP LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
27214112,AL5 S.A. SCFI,AL5 S.A. SCFI,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
51414521,ALL IN CRED SCD S.A.,ALL IN CRED SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
00655522,APE POUPEX,APE POUPEX,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
37168145,APROMS NET IP LTDA.,APROMS NET IP LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
16876258,APTARE,APTARE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
27126513,ARQ,ARQ,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
42259084,ARTTA SCD,ARTTA SCD,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
48703388,ASA SCFI S.A.,ASA SCFI S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
19540550,ASAAS IP S.A.,ASAAS IP S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
34006497,ASTROPAY,ASTROPAY,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
44728700,ATF SCD S.A.,ATF SCD S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
44478623,ATICCA SCD S.A.,ATICCA SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
10789035,ATTRUS IP S/A,ATTRUS IP S/A,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
07398335,AUTHPAY INSTITUICAO DE PAGAMENTO LTDA,AUTHPAY INSTITUICAO DE PAGAMENTO LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
20308187,AVANCARD PROVER IP LTDA,AVANCARD PROVER IP LTDA,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
04838403,AVIV INSTITUICAO DE PAGAMENTO,AVIV INSTITUICAO DE PAGAMENTO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
18684408,AZIMUT BRASIL DTVM LTDA,AZIMUT BRASIL DTVM LTDA,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
,B3 IP LTDA,B3 IP LTDA,Iniciador,,,2026-05-11 16:41:39.298146
33735811,B91,B91,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
00556603,BANCO BARI S.A.,BANCO BARI S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
